datasetName,errorType,feature,modelName,percentage,epc_at
water_potability.csv,Noisy,Hardness,DecisionTreeClassifier,0.8,0.8482
water_potability.csv,Noisy,Organic_carbon,CatBoostClassifier,0.4,0.8498
water_potability.csv,Outlier,Conductivity,DecisionTreeClassifier,0.6,0.8506
water_potability.csv,Noisy,Chloramines,LogisticRegression,0.4,0.8511
water_potability.csv,Outlier,Sulfate,GaussianNB,0.6,0.8518
water_potability.csv,DuplicatedAll,Potability,MLPClassifier,0.8,0.8528
water_potability.csv,Noisy,Chloramines,LinearDiscriminantAnalysis,0.4,0.8533
water_potability.csv,Outlier,Turbidity,MLPClassifier,0.4,0.8535
water_potability.csv,Outlier,Chloramines,DecisionTreeClassifier,0.8,0.8537
water_potability.csv,Noisy,Organic_carbon,GaussianNB,0.6,0.8537
water_potability.csv,Outlier,Solids,RidgeClassifier,0.4,0.8538
water_potability.csv,Noisy,Conductivity,LogisticRegression,0.4,0.8539
water_potability.csv,Missing,Trihalomethanes,MLPClassifier,0.8,0.8557
water_potability.csv,Noisy,Organic_carbon,GaussianNB,0.8,0.8557
water_potability.csv,Labels,Potability,GradientBoostingClassifier,0.4,0.8561
water_potability.csv,Outlier,Solids,GaussianNB,0.6,0.8562
water_potability.csv,Outlier,Sulfate,RidgeClassifier,0.4,0.8564
water_potability.csv,Noisy,Chloramines,RidgeClassifier,0.4,0.8572
water_potability.csv,Noisy,Turbidity,GradientBoostingClassifier,0.6,0.858
water_potability.csv,Missing,Conductivity,MLPClassifier,0.4,0.8582
water_potability.csv,Noisy,ph,GradientBoostingClassifier,0.4,0.8584
water_potability.csv,Outlier,Hardness,ExtraTreesClassifier,0.6,0.8596
water_potability.csv,Noisy,Turbidity,DecisionTreeClassifier,0.4,0.8601
water_potability.csv,Outlier,Conductivity,RidgeClassifier,0.4,0.8604
water_potability.csv,Noisy,Solids,ExtraTreesClassifier,0.4,0.8611
water_potability.csv,Outlier,Solids,LogisticRegression,0.4,0.8613
water_potability.csv,Outlier,Turbidity,LinearDiscriminantAnalysis,0.4,0.8613
water_potability.csv,Outlier,Organic_carbon,GaussianNB,0.6,0.8617
water_potability.csv,Outlier,Chloramines,LogisticRegression,0.4,0.8625
water_potability.csv,Noisy,Conductivity,MLPClassifier,0.4,0.8631
water_potability.csv,Outlier,Conductivity,LogisticRegression,0.4,0.8636
water_potability.csv,Outlier,Chloramines,LinearDiscriminantAnalysis,0.4,0.8637
water_potability.csv,Outlier,Hardness,RandomForestClassifier,0.4,0.8637
water_potability.csv,Outlier,Conductivity,LinearDiscriminantAnalysis,0.4,0.8638
water_potability.csv,Noisy,Trihalomethanes,CatBoostClassifier,0.6,0.8639
water_potability.csv,Noisy,Conductivity,RidgeClassifier,0.4,0.8642
water_potability.csv,Outlier,Solids,LinearDiscriminantAnalysis,0.4,0.8642
water_potability.csv,Noisy,Organic_carbon,RidgeClassifier,0.8,0.8648
water_potability.csv,Noisy,Conductivity,AdaBoostClassifier,0.4,0.8649
water_potability.csv,Outlier,Trihalomethanes,GaussianNB,0.4,0.866
water_potability.csv,Noisy,Turbidity,KNeighborsClassifier,0.4,0.866
water_potability.csv,Noisy,Turbidity,MLPClassifier,0.4,0.866
water_potability.csv,Outlier,Turbidity,GaussianNB,0.4,0.866
water_potability.csv,Labels,Potability,MLPClassifier,0.4,0.866
water_potability.csv,Noisy,Chloramines,QuadraticDiscriminantAnalysis,0.4,0.866
water_potability.csv,Noisy,Chloramines,GaussianProcessClassifier,0.4,0.866
water_potability.csv,Noisy,Organic_carbon,GaussianProcessClassifier,0.4,0.866
water_potability.csv,Noisy,Organic_carbon,KNeighborsClassifier,0.4,0.866
water_potability.csv,Noisy,Solids,LinearDiscriminantAnalysis,0.4,0.8664
water_potability.csv,Noisy,Conductivity,GradientBoostingClassifier,0.4,0.8665
water_potability.csv,Outlier,Chloramines,RidgeClassifier,0.4,0.8669
water_potability.csv,Noisy,Organic_carbon,ExtraTreesClassifier,0.4,0.8672
water_potability.csv,Noisy,Sulfate,ExtraTreesClassifier,0.4,0.8672
water_potability.csv,Outlier,Turbidity,LogisticRegression,0.4,0.8674
water_potability.csv,Outlier,ph,RandomForestClassifier,0.6,0.8674
water_potability.csv,Outlier,Hardness,ExtraTreesClassifier,0.8,0.8674
water_potability.csv,Noisy,Conductivity,LinearDiscriminantAnalysis,0.4,0.8676
water_potability.csv,Noisy,Organic_carbon,GradientBoostingClassifier,0.6,0.868
water_potability.csv,Outlier,Trihalomethanes,LinearDiscriminantAnalysis,0.4,0.869
water_potability.csv,Noisy,Solids,GaussianNB,0.6,0.8693
water_potability.csv,Noisy,Conductivity,CatBoostClassifier,0.4,0.8695
water_potability.csv,Noisy,Trihalomethanes,LinearDiscriminantAnalysis,0.4,0.8701
water_potability.csv,Outlier,Conductivity,QuadraticDiscriminantAnalysis,0.4,0.8706
water_potability.csv,Noisy,Trihalomethanes,LogisticRegression,0.4,0.8707
water_potability.csv,Outlier,Sulfate,LogisticRegression,0.4,0.871
water_potability.csv,Noisy,Sulfate,LinearDiscriminantAnalysis,0.4,0.8712
water_potability.csv,Outlier,Trihalomethanes,QuadraticDiscriminantAnalysis,0.4,0.8717
water_potability.csv,Outlier,Trihalomethanes,LogisticRegression,0.4,0.8725
water_potability.csv,Noisy,Conductivity,GaussianNB,0.4,0.8726
water_potability.csv,Noisy,Sulfate,QuadraticDiscriminantAnalysis,0.4,0.8729
water_potability.csv,Outlier,Solids,AdaBoostClassifier,0.6,0.8735
water_potability.csv,Noisy,Conductivity,RandomForestClassifier,0.4,0.8737
water_potability.csv,Outlier,Trihalomethanes,RidgeClassifier,0.4,0.8739
water_potability.csv,Labels,Potability,RandomForestClassifier,0.4,0.875
water_potability.csv,Noisy,Trihalomethanes,RidgeClassifier,0.4,0.8751
water_potability.csv,Outlier,Turbidity,RidgeClassifier,0.4,0.8752
water_potability.csv,Noisy,Solids,RandomForestClassifier,0.4,0.8759
