",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
193,recruitment_data.csv,Outlier,0.8,EducationLevel,RidgeClassifier,0.8567,,0.6989,0.8125,0.7514
194,recruitment_data.csv,Outlier,0.8,EducationLevel,GaussianNB,0.8667,0.2819,0.6774,0.863,0.759
195,recruitment_data.csv,Outlier,0.8,EducationLevel,LinearDiscriminantAnalysis,0.85,0.3597,0.6989,0.7927,0.7429
196,recruitment_data.csv,Outlier,0.8,EducationLevel,QuadraticDiscriminantAnalysis,0.8333,0.362,0.6774,0.759,0.7159
197,recruitment_data.csv,Outlier,0.8,EducationLevel,DecisionTreeClassifier,0.8467,0.5,0.7634,0.7474,0.7553
198,recruitment_data.csv,Outlier,0.8,EducationLevel,MLPClassifier,0.81,0.4071,0.6989,0.6915,0.6952
199,recruitment_data.csv,Outlier,0.8,EducationLevel,SVC,0.69,0.52,0.0,0.0,0.0
200,recruitment_data.csv,Outlier,0.8,EducationLevel,DummyClassifier,0.69,0.5,0.0,0.0,0.0
201,recruitment_data.csv,Outlier,0.8,EducationLevel,KNeighborsClassifier,0.7133,0.3642,0.3333,0.5636,0.4189
202,recruitment_data.csv,Outlier,0.8,EducationLevel,SGDClassifier,0.79,,0.3548,0.9167,0.5116
203,recruitment_data.csv,Outlier,0.8,EducationLevel,GaussianProcessClassifier,0.6433,0.5,0.4086,0.4222,0.4153
204,recruitment_data.csv,Outlier,0.2,ExperienceYears,GradientBoostingClassifier,0.88,0.3813,0.7419,0.8519,0.7931
205,recruitment_data.csv,Outlier,0.2,ExperienceYears,GaussianNB,0.8633,0.3004,0.6667,0.8611,0.7515
206,recruitment_data.csv,Outlier,0.2,ExperienceYears,CatBoostClassifier,0.8867,0.3674,0.7204,0.8933,0.7976
207,recruitment_data.csv,Outlier,0.2,ExperienceYears,ExtraTreesClassifier,0.8433,0.3206,0.6344,0.8194,0.7152
208,recruitment_data.csv,Outlier,0.2,ExperienceYears,AdaBoostClassifier,0.8767,0.3329,0.7312,0.85,0.7861
209,recruitment_data.csv,Outlier,0.2,ExperienceYears,RandomForestClassifier,0.85,0.2859,0.6344,0.8429,0.7239
210,recruitment_data.csv,Outlier,0.2,ExperienceYears,RidgeClassifier,0.8767,,0.6989,0.8784,0.7784
211,recruitment_data.csv,Outlier,0.2,ExperienceYears,LogisticRegression,0.87,0.3198,0.7097,0.8462,0.7719
212,recruitment_data.csv,Outlier,0.2,ExperienceYears,LinearDiscriminantAnalysis,0.8667,0.3368,0.7097,0.8354,0.7674
213,recruitment_data.csv,Outlier,0.2,ExperienceYears,QuadraticDiscriminantAnalysis,0.83,0.3756,0.6667,0.7561,0.7086
214,recruitment_data.csv,Outlier,0.2,ExperienceYears,MLPClassifier,0.8133,0.361,0.6237,0.7342,0.6744
215,recruitment_data.csv,Outlier,0.2,ExperienceYears,DecisionTreeClassifier,0.8267,0.5,0.6989,0.7303,0.7143
