",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
228,water_potability.csv,Missing,0.2,Chloramines,RandomForestClassifier,0.8582,0.4002,0.8,0.8167,0.8082
229,water_potability.csv,Missing,0.2,Chloramines,GradientBoostingClassifier,0.8552,0.3957,0.7959,0.8125,0.8041
230,water_potability.csv,Missing,0.2,Chloramines,AdaBoostClassifier,0.8384,0.4515,0.7959,0.7769,0.7863
231,water_potability.csv,Missing,0.2,Chloramines,DecisionTreeClassifier,0.8049,0.5,0.7592,0.7294,0.744
232,water_potability.csv,Missing,0.2,Chloramines,KNeighborsClassifier,0.6463,0.4487,0.5102,0.5274,0.5187
233,water_potability.csv,Missing,0.2,Chloramines,GaussianProcessClassifier,0.6341,0.5,0.5306,0.5098,0.52
234,water_potability.csv,Missing,0.2,Chloramines,SVC,0.6265,0.5184,0.0,0.0,0.0
235,water_potability.csv,Missing,0.2,Chloramines,DummyClassifier,0.6265,0.5,0.0,0.0,0.0
236,water_potability.csv,Missing,0.2,Chloramines,MLPClassifier,0.529,0.5196,0.6735,0.4188,0.5164
237,water_potability.csv,Missing,0.2,Chloramines,SGDClassifier,0.6265,,0.0,0.0,0.0
238,water_potability.csv,Missing,0.4,Chloramines,RidgeClassifier,0.8537,,0.7918,0.8117,0.8017
239,water_potability.csv,Missing,0.4,Chloramines,LinearDiscriminantAnalysis,0.8537,0.414,0.7959,0.8091,0.8025
240,water_potability.csv,Missing,0.4,Chloramines,QuadraticDiscriminantAnalysis,0.8506,0.3948,0.7918,0.805,0.7984
241,water_potability.csv,Missing,0.4,Chloramines,LogisticRegression,0.846,0.4082,0.7878,0.7975,0.7926
242,water_potability.csv,Missing,0.4,Chloramines,GaussianNB,0.8521,0.3885,0.7878,0.8109,0.7992
243,water_potability.csv,Missing,0.4,Chloramines,RandomForestClassifier,0.8537,0.4159,0.7918,0.8117,0.8017
244,water_potability.csv,Missing,0.4,Chloramines,ExtraTreesClassifier,0.8521,0.39,0.7959,0.8058,0.8008
245,water_potability.csv,Missing,0.4,Chloramines,GradientBoostingClassifier,0.8491,0.4095,0.7878,0.8042,0.7959
246,water_potability.csv,Missing,0.4,Chloramines,CatBoostClassifier,0.8506,0.4277,0.7959,0.8025,0.7992
