",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
149,citrus.csv,Missing,0.8,weight,SGDClassifier,1.0,,1.0,1.0,1.0
150,citrus.csv,Missing,0.8,weight,GaussianNB,0.9535,0.4823,0.9611,0.9491,0.9551
151,citrus.csv,Missing,0.8,weight,SVC,0.4925,0.4365,0.0126,1.0,0.025
152,citrus.csv,Missing,0.8,weight,DummyClassifier,0.486,0.5,0.0,0.0,0.0
153,citrus.csv,Missing,0.2,red,LogisticRegression,1.0,0.5087,1.0,1.0,1.0
154,citrus.csv,Missing,0.2,red,RandomForestClassifier,1.0,0.51,1.0,1.0,1.0
155,citrus.csv,Missing,0.2,red,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
156,citrus.csv,Missing,0.2,red,ExtraTreesClassifier,1.0,0.5027,1.0,1.0,1.0
157,citrus.csv,Missing,0.2,red,CatBoostClassifier,1.0,0.6752,1.0,1.0,1.0
158,citrus.csv,Missing,0.2,red,MLPClassifier,1.0,0.5167,1.0,1.0,1.0
159,citrus.csv,Missing,0.2,red,GaussianProcessClassifier,1.0,0.5045,1.0,1.0,1.0
160,citrus.csv,Missing,0.2,red,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
161,citrus.csv,Missing,0.2,red,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
162,citrus.csv,Missing,0.2,red,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
163,citrus.csv,Missing,0.2,red,RidgeClassifier,1.0,,1.0,1.0,1.0
164,citrus.csv,Missing,0.2,red,LinearDiscriminantAnalysis,1.0,0.5016,1.0,1.0,1.0
165,citrus.csv,Missing,0.2,red,QuadraticDiscriminantAnalysis,1.0,0.5021,1.0,1.0,1.0
166,citrus.csv,Missing,0.2,red,SGDClassifier,0.959,,1.0,0.9261,0.9616
167,citrus.csv,Missing,0.2,red,GaussianNB,0.946,0.483,0.9494,0.9457,0.9476
168,citrus.csv,Missing,0.2,red,SVC,0.515,0.3127,0.0564,1.0,0.1068
169,citrus.csv,Missing,0.2,red,DummyClassifier,0.486,0.5,0.0,0.0,0.0
170,citrus.csv,Missing,0.4,red,LogisticRegression,1.0,0.5052,1.0,1.0,1.0
