",",experiment_run,datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1,AMI,SILHOUETTE,K
179,7,satimage_sample3600.csv,missing,0.8,[C9attr],Hierarchical Clustering,,,,,,0.5912,0.3509,6.0
180,7,satimage_sample3600.csv,missing,0.9,[C9attr],K-Means,,,,,,0.5882,0.3503,6.0
181,7,satimage_sample3600.csv,missing,0.9,[C9attr],HDBSCAN,,,,,,0.2437,0.2515,4.0
182,7,satimage_sample3600.csv,missing,0.9,[C9attr],Gaussian Mixture Model,,,,,,0.5548,0.1699,4.0
183,7,satimage_sample3600.csv,missing,0.9,[C9attr],BIRCH,,,,,,0.4975,0.2635,6.0
184,7,satimage_sample3600.csv,missing,0.9,[C9attr],Hierarchical Clustering,,,,,,0.5867,0.3488,6.0
185,7,satimage_sample3600.csv,missing,0.1,[F12attr],K-Means,,,,,,0.578,0.3512,6.0
186,7,satimage_sample3600.csv,missing,0.1,[F12attr],HDBSCAN,,,,,,0.3415,0.343,4.0
187,7,satimage_sample3600.csv,missing,0.1,[F12attr],Gaussian Mixture Model,,,,,,0.5579,0.1887,6.0
188,7,satimage_sample3600.csv,missing,0.1,[F12attr],BIRCH,,,,,,0.4764,0.2947,6.0
189,7,satimage_sample3600.csv,missing,0.1,[F12attr],Hierarchical Clustering,,,,,,0.5683,0.3396,6.0
190,7,satimage_sample3600.csv,missing,0.2,[F12attr],K-Means,,,,,,0.526,0.3312,6.0
191,7,satimage_sample3600.csv,missing,0.2,[F12attr],HDBSCAN,,,,,,0.2463,0.2371,4.0
192,7,satimage_sample3600.csv,missing,0.2,[F12attr],Gaussian Mixture Model,,,,,,0.498,0.2041,6.0
193,7,satimage_sample3600.csv,missing,0.2,[F12attr],BIRCH,,,,,,0.4911,0.311,6.0
194,7,satimage_sample3600.csv,missing,0.2,[F12attr],Hierarchical Clustering,,,,,,0.5838,0.3518,6.0
195,7,satimage_sample3600.csv,missing,0.3,[F12attr],K-Means,,,,,,0.5257,0.3286,6.0
196,7,satimage_sample3600.csv,missing,0.3,[F12attr],HDBSCAN,,,,,,0.2477,0.2783,4.0
197,7,satimage_sample3600.csv,missing,0.3,[F12attr],Gaussian Mixture Model,,,,,,0.5045,0.2047,6.0
198,7,satimage_sample3600.csv,missing,0.3,[F12attr],BIRCH,,,,,,0.53,0.295,6.0
199,7,satimage_sample3600.csv,missing,0.3,[F12attr],Hierarchical Clustering,,,,,,0.5814,0.3428,6.0
200,7,satimage_sample3600.csv,missing,0.4,[F12attr],K-Means,,,,,,0.5223,0.3297,6.0
201,7,satimage_sample3600.csv,missing,0.4,[F12attr],HDBSCAN,,,,,,0.2476,0.2826,3.0
202,7,satimage_sample3600.csv,missing,0.4,[F12attr],Gaussian Mixture Model,,,,,,0.4935,0.1879,6.0
203,7,satimage_sample3600.csv,missing,0.4,[F12attr],BIRCH,,,,,,0.555,0.2975,6.0
204,7,satimage_sample3600.csv,missing,0.4,[F12attr],Hierarchical Clustering,,,,,,0.5694,0.338,6.0
205,7,satimage_sample3600.csv,missing,0.5,[F12attr],K-Means,,,,,,0.5807,0.3504,6.0
206,7,satimage_sample3600.csv,missing,0.5,[F12attr],HDBSCAN,,,,,,0.2463,0.2371,4.0
207,7,satimage_sample3600.csv,missing,0.5,[F12attr],Gaussian Mixture Model,,,,,,0.5811,0.1967,5.0
208,7,satimage_sample3600.csv,missing,0.5,[F12attr],BIRCH,,,,,,0.5855,0.2875,6.0
209,7,satimage_sample3600.csv,missing,0.5,[F12attr],Hierarchical Clustering,,,,,,0.5619,0.3359,6.0
210,7,satimage_sample3600.csv,missing,0.6,[F12attr],K-Means,,,,,,0.5815,0.3515,6.0
211,7,satimage_sample3600.csv,missing,0.6,[F12attr],HDBSCAN,,,,,,0.2463,0.2371,4.0
212,7,satimage_sample3600.csv,missing,0.6,[F12attr],Gaussian Mixture Model,,,,,,0.5762,0.2026,5.0
213,7,satimage_sample3600.csv,missing,0.6,[F12attr],BIRCH,,,,,,0.4426,0.3071,6.0
214,7,satimage_sample3600.csv,missing,0.6,[F12attr],Hierarchical Clustering,,,,,,0.5879,0.3463,6.0
215,7,satimage_sample3600.csv,missing,0.7,[F12attr],K-Means,,,,,,0.5847,0.3508,6.0
216,7,satimage_sample3600.csv,missing,0.7,[F12attr],HDBSCAN,,,,,,0.2489,0.2758,3.0
217,7,satimage_sample3600.csv,missing,0.7,[F12attr],Gaussian Mixture Model,,,,,,0.5891,0.2029,5.0
218,7,satimage_sample3600.csv,missing,0.7,[F12attr],BIRCH,,,,,,0.5059,0.2953,6.0
219,7,satimage_sample3600.csv,missing,0.7,[F12attr],Hierarchical Clustering,,,,,,0.5689,0.3436,6.0
220,7,satimage_sample3600.csv,missing,0.8,[F12attr],K-Means,,,,,,0.5248,0.3297,6.0
